"","word1","word2","n"
"1","republican","party",16
"2","patent","office",15
"3","u.s","patent",15
"4","labor","party",12
"5","registered","u.s",11
"6","federal","aid",10
"7","provided","note",10
"8","roll","calls",10
"9","afl","cio",8
"10","democratic","party",8
"11","federal","government",8
"12","national","committee",8
"13","vice","president",8
"14","labor","unions",7
"15","column","layout",6
"16","rural","electrification",6
"17","british","socialists",5
"18","class","struggle",5
"19","congressional","quarterly",5
"20","potential","voters",5
"21","remain","due",5
"22","republican","candidates",5
"23","social","security",5
"24","adlai","stevenson",4
"25","association","pressure",4
"26","assorted","lot",4
"27","blue","chip",4
"28","campaign","gaitskell",4
"29","cent","rate",4
"30","conservative","democrats",4
"31","divided","world",4
"32","eisenhower","administration",4
"33","farm","plans",4
"34","henry","wallace",4
"35","ill","assorted",4
"36","investor","owned",4
"37","local","organization",4
"38","lord","woolton",4
"39","los","angeles",4
"40","owned","companies",4
"41","party","organization",4
"42","press","conference",4
"43","private","investors",4
"44","red","china",4
"45","spectacular","growth",4
"46","trade","association",4
"47","wall","street",4
"48","armistice","day",3
"49","chairman","hall",3
"50","cio","committee",3
"51","communist","issue",3
"52","congressional","record",3
"53","dog","days",3
"54","election","campaign",3
"55","government","spending",3
"56","income","taxes",3
"57","liberal","democrats",3
"58","liberal","party",3
"59","middle","west",3
"60","minor","inconsistencies",3
"61","minor","overlaps",3
"62","national","policy",3
"63","ocr","limitations",3
"64","political","education",3
"65","political","influence",3
"66","political","labor",3
"67","private","insurance",3
"68","public","opinion",3
"69","public","power",3
"70","republican","national",3
"71","senator","schoeppel",3
"72","socialist","party",3
"73","soviet","russia",3
"74","stevenson","kefauver",3
"75","tax","cuts",3
"76","text","extracted",3
"77","war","effort",3
"78","white","house",3
"79","abnormal","manifestation",2
"80","active","labor",2
"81","active","local",2
"82","actual","fourth",2
"83","ad","lib",2
"84","advantages","compromise",2
"85","agricultural","genius",2
"86","ah","communism",2
"87","amateur","university",2
"88","american","achievement",2
"89","american","army",2
"90","american","government",2
"91","american","liberal",2
"92","american","liberals",2
"93","american","political",2
"94","american","workers",2
"95","anachronism","italy",2
"96","aneurin","bevan",2
"97","angeles","platform",2
"98","announcement","soviet",2
"99","antiquated","concepts",2
"100","appeal","based",2
"101","appeal","tranquilizes",2
"102","appeal","utterly",2
"103","appreciably","increase",2
"104","argued","americans",2
"105","arid","wastes",2
"106","armchair","doctrinaire",2
"107","army","officer",2
"108","astonishing","assertion",2
"109","bankers","investors",2
"110","behavior","pattern",2
"111","bevan","trade",2
"112","bitter","haters",2
"113","boating","swimming",2
"114","bovine","classification",2
"115","brimming","financial",2
"116","british","conservatives",2
"117","british","election",2
"118","british","electorate",2
"119","british","labor",2
"120","british","people",2
"121","british","refused",2
"122","brought","victory",2
"123","budget","director",2
"124","business","class",2
"125","business","school",2
"126","call","switch",2
"127","called","liberals",2
"128","campaign","committees",2
"129","candidate","defeated",2
"130","candidate","stevenson",2
"131","capehart","dealer",2
"132","capital","community",2
"133","cargo","plane",2
"134","cargo","planes",2
"135","cent","half",2
"136","cent","paid",2
"137","chief","beneficiaries",2
"138","chief","justice",2
"139","chip","industrial",2
"140","chip","pool",2
"141","christian","democrats",2
"142","civil","war",2
"143","class","appeal",2
"144","class","distinctions",2
"145","class","division",2
"146","class","party",2
"147","classified","cows",2
"148","collective","farms",2
"149","columbia","basin",2
"150","column","structure",2
"151","committed","socialists",2
"152","committee","meets",2
"153","common","sense",2
"154","complete","records",2
"155","component","elements",2
"156","congressional","district",2
"157","congressional","districts",2
"158","conservative","candidate",2
"159","conservatives","fought",2
"160","considerable","poverty",2
"161","constant","inflow",2
"162","cooperative","association",2
"163","cooperatives","choose",2
"164","county","illinois",2
"165","cross","breeding",2
"166","cynically","coveted",2
"167","czarist","russia",2
"168","dairy","farm",2
"169","deadly","competition",2
"170","deathless","fourth",2
"171","definable","choice",2
"172","democratic","committee",2
"173","democratic","support",2
"174","democratic","union",2
"175","democrats","opposed",2
"176","department","explained",2
"177","deputy","premier",2
"178","die","surely",2
"179","difficult","due",2
"180","discredited","appeals",2
"181","doctrinaire","fabians",2
"182","dozen","labor's",2
"183","dream","recently",2
"184","duly","capitalized",2
"185","earlier","article",2
"186","earned","surplus",2
"187","economic","illusions",2
"188","economic","miracle",2
"189","economists","offer",2
"190","economy","votes",2
"191","educational","novelties",2
"192","efficient","party",2
"193","eighteen","months",2
"194","eisenhower","cynically",2
"195","election","day",2
"196","election","offers",2
"197","election","officials",2
"198","election","proved",2
"199","electorate","weary",2
"200","electric","cooperative",2
"201","electrical","cooperatives",2
"202","electrification","administration",2
"203","ellis","dream",2
"204","ellis","proposed",2
"205","excessive","abuse",2
"206","extra","effort",2
"207","extracted","text",2
"208","factual","argument",2
"209","false","analogy",2
"210","false","elixir",2
"211","farm","expert",2
"212","farm","program",2
"213","farmer's","milkhouse",2
"214","fashioned","local",2
"215","fat","majority",2
"216","federal","control",2
"217","federal","expenditures",2
"218","federal","hydroelectric",2
"219","fever","heat",2
"220","fewer","cattle",2
"221","financial","position",2
"222","fine","public",2
"223","foolhardy","venture",2
"224","ford","foundation",2
"225","forthcoming","conference",2
"226","fought","hard",2
"227","fourth","branch",2
"228","fourth","rejection",2
"229","free","status",2
"230","free","world",2
"231","frequently","mentioned",2
"232","function","similar",2
"233","future","reflection",2
"234","gamble","americans",2
"235","governing","britain",2
"236","government","benefits",2
"237","government","build",2
"238","government","ownership",2
"239","government","power",2
"240","grade","blue",2
"241","gradual","reduction",2
"242","greatly","increased",2
"243","growing","middle",2
"244","hard","hitting",2
"245","hardhanded","practical",2
"246","hit","hard",2
"247","hitting","produces",2
"248","horned","cattle",2
"249","hospital","readers",2
"250","hostile","arid",2
"251","housing","slum",2
"252","hugh","gaitskell",2
"253","human","behavior",2
"254","humphrey","price",2
"255","hydroelectric","projects",2
"256","hypothetical","increase",2
"257","ideas","rejected",2
"258","ill","fitted",2
