"","word1","word2","date","year","month","day","filename"
"1","newsweek","persp","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"2","persp","registered","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"3","cargo","plane","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"4","loos","angeles","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"5","donald","nelson","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"6","authorize","henry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"7","giant","cargo","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"8","howard","hughes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"9","informative","discussions","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"10","cargo","flying","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"11","flying","ships","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"12","war","effort","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"13","takes","time","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"14","experimental","models","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"15","understandable","differences","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"16","specific","plans","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"17","continually","changing","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"18","complicated","technical","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"19","wide","discussion","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"20","weeks","ago","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"21","wpb","representative","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"22","airplane","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"23","specific","plan","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"24","settled","rule","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"25","plans","engineering","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"26","engineering","ideas","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"27","ideas","advice","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"28","technical","personnel","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"29","build","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"30","kaiser","september","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"31","september","ective","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"32","patent","office","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"33","unquestioned","manufacturing","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"34","manufacturing","ability","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"35","mass","production","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"36","plane","leaders","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"37","automobile","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"38","model","takes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"39","takes","close","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"40","original","idea","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"41","undertake","critical","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"42","critical","materials","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"43","materials","engineering","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"44","engineering","personnel","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"45","personnel","mass","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"46","mass","production","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"47","draw","heavily","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"48","strained","resources","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"49","overburdened","industry","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"50","vastly","bigger","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"51","bigger","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"52","cargo","plane","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"53","cargo","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"54","exact","types","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"55","production","line","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"56","basic","designs","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"57","exist","leaders","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"58","excellent","cargo","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"59","cargo","planes","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"60","heavily","underscored","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"61","immense","satisfaction","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"62","nation’s","attention","1942-09-28",1942,9,28,"Moley_newsweek_1942-09-28_20_13.txt"
"63","newsweek","perspective","1942-10-19",1942,10,19,"Moley_newsweek_1942-10-19_20_16.txt"
