"","word1","word2","n"
"1","republican","party",23
"2","federal","government",22
"3","democratic","party",18
"4","vice","president",17
"5","federal","aid",15
"6","supreme","court",13
"7","labor","party",11
"8","roll","calls",11
"9","national","committee",10
"10","foreign","affairs",8
"11","labor","unions",8
"12","white","house",8
"13","american","people",7
"14","common","sense",7
"15","text","file",7
"16","election","day",6
"17","fair","deal",6
"18","foreign","policy",6
"19","los","angeles",6
"20","soil","bank",6
"21","tafthartley","act",6
"22","txt","file",6
"23","upper","colorado",6
"24","world","war",6
"25","adlai","stevenson",5
"26","assembly","line",5
"27","congressional","quarterly",5
"28","conservative","democrats",5
"29","government","operations",5
"30","grand","jury",5
"31","major","factor",5
"32","minor","overlaps",5
"33","national","product",5
"34","national","security",5
"35","party","organization",5
"36","presi","dent",5
"37","president","eisenhower",5
"38","president","truman",5
"39","remain","due",5
"40","republican","candidates",5
"41","righttowork","laws",5
"42","war","effort",5
"43","weeks","ago",5
"44","aflcio","committee",4
"45","american","industry",4
"46","bricker","amendment",4
"47","chief","justice",4
"48","foreign","relations",4
"49","health","service",4
"50","herbert","hoover",4
"51","income","taxes",4
"52","individual","enterprise",4
"53","majority","leader",4
"54","mass","base",4
"55","overlapping","text",4
"56","press","conference",4
"57","private","investors",4
"58","purchasing","power",4
"59","raw","materials",4
"60","red","china",4
"61","senate","debate",4
"62","senator","taft",4
"63","social","reform",4
"64","south","carolina",4
"65","unemployment","compensation",4
"66","wage","earners",4
"67","additional","payments",3
"68","al","smith",3
"69","american","companies",3
"70","armistice","day",3
"71","army","engineers",3
"72","assistant","secretary",3
"73","atomic","energy",3
"74","british","conservatives",3
"75","british","politics",3
"76","british","socialists",3
"77","british","theaters",3
"78","budget","director",3
"79","cam","paign",3
"80","cargo","planes",3
"81","cent","rate",3
"82","chairman","hall",3
"83","class","struggle",3
"84","colorado","project",3
"85","colorado","storage",3
"86","column","separation",3
"87","communist","issue",3
"88","congressional","record",3
"89","death","resignation",3
"90","demo","crats",3
"91","democratic","candidate",3
"92","democratic","candidates",3
"93","democratic","majority",3
"94","democratic","votes",3
"95","department","bureaucracy",3
"96","dog","days",3
"97","economic","issues",3
"98","eisenhower","administration",3
"99","elec","tion",3
"100","electric","power",3
"101","executive","agreements",3
"102","farm","program",3
"103","federal","bureaucracy",3
"104","federal","power",3
"105","feed","grains",3
"106","friends","abroad",3
"107","greatly","increased",3
"108","hoover","commission",3
"109","hyster","industrial",3
"110","industrial","trucks",3
"111","interior","department",3
"112","international","public",3
"113","judge","bryan",3
"114","la","guardia",3
"115","labor","bill",3
"116","labor","bosses",3
"117","liberal","party",3
"118","local","level",3
"119","lord","woolton",3
"120","ma","jority",3
"121","mass","production",3
"122","minor","formatting",3
"123","national","affairs",3
"124","national","income",3
"125","national","policy",3
"126","nuclear","physics",3
"127","party","lines",3
"128","party","philosophy",3
"129","perfectly","separating",3
"130","plain","text",3
"131","political","activity",3
"132","political","education",3
"133","political","parties",3
"134","potential","voters",3
"135","prime","minister",3
"136","private","industry",3
"137","private","insurance",3
"138","provided","formatted",3
"139","public","policy",3
"140","public","relations",3
"141","reorganization","act",3
"142","republican","advance",3
"143","republican","national",3
"144","republican","votes",3
"145","righttowork","issue",3
"146","roman","catholic",3
"147","rural","electrification",3
"148","savings","bonds",3
"149","school","construction",3
"150","senate","committee",3
"151","senator","schoeppel",3
"152","sheldon","glueck",3
"153","social","security",3
"154","soil","conservation",3
"155","soviet","russia",3
"156","stock","ownership",3
"157","task","forces",3
"158","tax","cut",3
"159","tax","cuts",3
"160","text","editor",3
"161","text","extracted",3
"162","twocolumn","layout",3
"163","union","bosses",3
"164","union","leaders",3
"165","union","officers",3
"166","war","ii",3
"167","william","james",3
"168","_by","moley_",2
"169","additional","benefits",2
"170","american","citizens",2
"171","american","communism",2
"172","american","government",2
"173","american","party",2
"174","american","pictures",2
"175","american","political",2
"176","american","theaters",2
"177","american","tradition",2
"178","aneurin","bevan",2
"179","applied","science",2
"180","attorney's","office",2
"181","bill","died",2
"182","billion","dollars",2
"183","billion","expected",2
"184","bit","premature",2
"185","bodine","motors",2
"186","british","press",2
"187","budget","bureau",2
"188","budget","cuts",2
"189","building","program",2
"190","business","cycle",2
"191","business","enterprise",2
"192","business","management",2
"193","business","school",2
"194","cam","paigns",2
"195","campaign","committees",2
"196","campaign","gaitskell",2
"197","candidate","stevenson",2
"198","capehart","dealer",2
"199","cargo","plane",2
"200","carried","counties",2
"201","catholic","clergymen",2
"202","cent","paid",2
"203","city","council",2
"204","city","majorities",2
"205","close","race",2
"206","closed","shop",2
"207","columbia","basin",2
"208","column","structure",2
"209","committee","chairman",2
"210","committee","meets",2
"211","communist","party",2
"212","con","gress",2
"213","conditions","prevailing",2
"214","congressional","district",2
"215","congressional","districts",2
"216","conservative","candidate",2
"217","conservative","estimate",2
"218","conservative","party",2
"219","constitutional","crisis",2
"220","constitutional","law",2
"221","creel","appraisal",2
"222","critical","materials",2
"223","current","budget",2
"224","cut","expenditures",2
"225","cynically","coveted",2
"226","daniel","webster",2
"227","david","mccord",2
"228","deal","days",2
"229","debt","reduction",2
"230","defense","department",2
"231","demo","cratic",2
"232","democratic","committee",2
"233","democratic","primary",2
"234","democratic","support",2
"235","democrats","voted",2
"236","difficult","due",2
"237","domestic","issues",2
"238","dr","collings",2
"239","du","pont",2
"240","earl","warren",2
"241","economy","votes",2
"242","educational","finance",2
"243","eisenhower","cynically",2
"244","election","campaign",2
"245","election","laws",2
"246","election","officials",2
"247","electoral","system",2
"248","emergency","agencies",2
"249","energy","commission",2
"250","eral","court",2
"251","estes","kefauver",2
"252","excessive","abuse",2
"253","extra","effort",2
"254","factual","argument",2
"255","false","analogy",2
"256","farm","plans",2
"257","favorite","son",2
"258","federal","budget",2
"259","federal","control",2
"260","federal","courts",2
"261","federal","expenditures",2
"262","federal","grand",2
"263","federal","income",2
"264","federal","law",2
"265","federal","laws",2
"266","file","copy",2
"267","file","named",2
"268","finance","commission",2
"269","flood","control",2
"270","ford","foundation",2
"271","foreign","service",2
"272","formatting","inconsistencies",2
"273","frank","lausche",2
"274","free","dom",2
"275","free","institutions",2
"276","free","world",2
"277","frequently","mentioned",2
"278","government","bonds",2
"279","gradual","reduction",2
"280","grand","inquest",2
"281","grave","doubts",2
"282","hard","hitting",2
"283","harvard","university",2
"284","health","insurance",2
"285","henry","george",2
"286","henry","wallace",2
"287","hoover","report",2
"288","house","bill",2
"289","house","vote",2
"290","hugh","gaitskell",2
"291","human","behavior",2
"292","human","service",2
"293","hydroelectric","projects",2
"294","ideological","position",2
"295","illassorted","lot",2
"296","im","portance",2
"297","individual","freedom",2
"298","individual","incomes",2
"299","inflationary","prices",2
"300","informed","people",2
"301","intellectual","caliber",2
"302","internal","revenue",2
"303","investorowned","companies",2
"304","jesse","jones",2
"305","joseph","martin",2
"306","journalist","creel",2
"307","justice","holmes",2
"308","kansas","city",2
"309","key","positions",2
"310","la","follette",2
"311","labor","government",2
"312","labor","laws",2
"313","labor","policy",2
"314","language","model",2
"315","late","justices",2
"316","lawenforcement","officers",2
"317","liberal","democrats",2
"318","liberal","republicans",2
"319","litical","education",2
"320","local","organization",2
"321","low","percentage",2
"322","lower","brackets",2
"323","machine","rule",2
"324","major","parties",2
"325","marginal","democratic",2
"326","martin","jr",2
"327","mccord","wright",2
"328","means","committee",2
"329","middle","west",2
"330","million","acres",2
"331","million","unemployed",2
"332","minister","attlee",2
"333","minor","errors",2
"334","moral","element",2
"335","mother","earth",2
"336","national","candidates",2
"337","national","chairman",2
"338","national","figure",2
"339","national","production",2
"340","national","ticket",2
"341","national","tickets",2
"342","national","wealth",2
"343","natural","forces",2
"344","net","income",2
"345","nobly","conceived",2
"346","nonmilitary","items",2
"347","north","american",2
"348","north","carolina",2
"349","nuclear","power",2
"350","ominous","future",2
"351","opposition","votes",2
"352","oregon","washington",2
"353","organic","chemicals",2
"354","organized","effort",2
"355","original","column",2
"356","original","formatting",2
"357","pacific","coast",2
"358","paid","employees",2
"359","paid","yearround",2
"360","partnership","policy",2
"361","party","leaders",2
"362","party","line",2
"363","party","platform",2
"364","past","ten",2
"365","pdf","attempting",2
"366","pdf","note",2
"367","peo","ple",2
"368","perfect","separation",2
"369","permanent","labor",2
"370","person","holding",2
"371","philosophy","disturbing",2
"372","placement","law",2
"373","po","litical",2
"374","political","action",2
"375","political","arms",2
"376","political","campaign",2
"377","political","campaigns",2
"378","political","influence",2
"379","political","labor",2
"380","political","life",2
"381","political","ma",2
"382","political","party",2
"383","politically","active",2
"384","politically","inspired",2
"385","politically","minded",2
"386","power","companies",2
"387","power","projects",2
"388","power","trust",2
"389","pre","vented",2
"390","president","pro",2
"391","president","roosevelt",2
"392","president's","program",2
"393","president’s","program",2
"394","private","companies",2
"395","private","power",2
"396","privately","supported",2
"397","pro","tem",2
"398","profound","obligation",2
"399","progressive","era",2
"400","proper","role",2
"401","protestant","jewish",2
"402","provide","federal",2
"403","provided","due",2
"404","public","demands",2
"405","public","housing",2
"406","public","life",2
"407","public","office",2
"408","public","opinion",2
"409","public","servant",2
"410","public","service",2
"411","publican","party",2
"412","radical","movements",2
"413","real","test",2
"414","reasonable","speed",2
"415","recent","campaign",2
"416","relations","committee",2
"417","religious","war",2
"418","republican","campaign",2
"419","republican","counties",2
"420","republican","leaders",2
"421","republican","nomination",2
"422","republican","support",2
"423","resi","dence",2
"424","respective","chairmen",2
"425","responsibility","rests",2
"426","responsible","freedom",2
"427","responsible","people",2
"428","revenue","act",2
"429","revolutionary","findings",2
"430","richard","nixon",2
"431","righttowork","principle",2
"432","robert","morrison",2
"433","roosevelt","carried",2
"434","roosevelt","term",2
"435","rules","committee",2
"436","rural","districts",2
"437","santa","barbara",2
"438","school","boards",2
"439","scott","lucas",2
"440","secretary","byrnes",2
"441","secretary","tobin",2
"442","section","net",2
"443","sen","ators",2
"444","senate","chairman",2
"445","senator","george",2
"446","senator","monroney",2
"447","senator","morse",2
"448","skilled","manpower",2
"449","slightly","inaccurate",2
"450","socalled","liberal",2
"451","socalled","liberals",2
"452","social","services",2
"453","socialist","party",2
"454","southern","california",2
"455","sparsely","settled",2
"456","specific","issues",2
"457","spectacular","growth",2
"458","static","electorate",2
"459","stevenson","kefauver",2
"460","storage","project",2
"461","tariff","cuts",2
"462","task","force",2
"463","tax","burden",2
"464","tax","foundation",2
"465","tax","reduction",2
"466","tax","relief",2
"467","tenured","holder",2
"468","time","ago",2
"469","towering","figure",2
"470","trade","agreements",2
"471","trade","associationpressure",2
"472","trade","free",2
"473","trade","unions",2
"474","truman","administrations",2
"475","twocolumn","structure",2
"476","u.s","attorney",2
"477","u.s","attorney's",2
"478","u.s","house",2
"479","union","carbide",2
"480","union","shop",2
"481","united","kingdom",2
"482","united","nations",2
"483","unsatisfactory","facilities",2
"484","venture","capital",2
"485","vincent","astor",2
"486","violently","opposed",2
"487","votes","cast",2
"488","wall","street",2
"489","walter","reuther",2
"490","war","agencies",2
"491","west","coast",2
"492","wide","publicity",2
"493","woodrow","wilson",2
"494","york","city",2
"495","york","times",2
"496","_june_","txt",1
"497","a.s","mike",1
"498","a_","platform",1
"499","a_reconsidera","tion",1
"500","aa","august",1
"501","ab","senteeism",1
"502","abandoned","fallacious",1
"503","abandoned","hell's",1
"504","abandoning","job",1
"505","abnormal","manifestation",1
"506","abolishing","incomesplitting",1
"507","abolishing","poverty",1
"508","absentee","ballots",1
"509","abstention","republican",1
"510","absurd","charge",1
"511","abundant","evi",1
"512","abusing","hoover",1
"513","ac","cording",1
"514","ac","count",1
"515","academic","accomplish",1
"516","academic","achievement",1
"517","academic","freedom",1
"518","academic","honor",1
"519","academic","people",1
"520","accelerated","growth",1
"521","accelerating","drop",1
"522","accept","le",1
"523","acceptable","conduct",1
"524","acceptable","method",1
"525","accepted","citing",1
"526","accommodate","excess",1
"527","account","relates",1
"528","accountants","refuse",1
"529","accounting","act",1
"530","accounting","function",1
"531","accounting","system",1
"532","accumulated","surplus",1
"533","accurate","preelection",1
"534","accurate","transcription",1
"535","accurately","designed",1
"536","accurately","represent",1
"537","acheson","addressed",1
"538","acheson's","empty",1
"539","achievement","mark",1
"540","achieving","eco",1
"541","acquiescence","permitted",1
"542","acre","congress",1
"543","acreage","including",1
"544","acrosstheboard","aid",1
"545","act","abolishing",1
"546","act","designed",1
"547","act","representative",1
"548","action","money",1
"549","action","senators",1
"550","active","campaigner",1
"551","active","candidates",1
"552","active","labor",1
"553","active","local",1
"554","active","productive",1
"555","active","union",1
"556","actively","campaigning",1
"557","activities","carried",1
"558","activities","committee",1
"559","activity","organizations",1
"560","actu","ary",1
"561","actual","filename",1
"562","actual","fourth",1
"563","actual","negotiation",1
"564","actual","phys",1
"565","actual","revenues",1
"566","acute","foreign",1
"567","acutely","sensitive",1
"568","ad","lib",1
"569","ad","valorem",1
"570","ada","senator",1
"571","adam","clayton",1
"572","adam","smith",1
"573","adams","clay",1
"574","adams","daniel",1
"575","adaptability","psychological",1
"576","add","fatal",1
"577","added","budgetary",1
"578","added","challenge",1
"579","additional","easy",1
"580","additional","educational",1
"581","additional","inflation",1
"582","additional","millions",1
"583","additional","party",1
"584","additional","revenue",1
"585","additional","strength",1
"586","additional","subsidy",1
"587","additional","text",1
"588","address","published",1
"589","adequate","defense",1
"590","adequate","money",1
"591","adequate","share",1
"592","adequate","supply",1
"593","adherent","entered",1
"594","adjusting","duties",1
"595","admin","istration",1
"596","administration","countless",1
"597","administration","distributed",1
"598","administration","excluding",1
"599","administration","vigorously",1
"600","administration's","bill",1
"601","administration's","boat",1
"602","administration's","insistence",1
"603","administration’s","power",1
"604","administrative","ability",1
"605","administrative","caprice",1
"606","administrative","decisions",1
"607","administrative","review",1
"608","administrators","settle",1
"609","adminstration's","action",1
"610","admirably","prepared",1
"611","admired","napoleon",1
"612","admission","prices",1
"613","adopted","pr",1
"614","advance","edito",1
"615","advance","projection",1
"616","advantages","compromise",1
"617","adventitious","functions",1
"618","adventitious","props",1
"619","adventurous","impulsive",1
"620","advice","anti",1
"621","advo","cate",1
"622","advocate","recognition",1
"623","aec","industry",1
"624","aec","manufacturers",1
"625","aec","subject",1
"626","aeial","u.s",1
"627","af","fairs",1
"628","affairs","evolved",1
"629","affairs","lodge's",1
"630","affect","voters",1
"631","affili","ation",1
"632","affiliated","international",1
"633","affiliation","democratic",1
"634","affirm","federal",1
"635","aflcio","cope",1
"636","aflcio","news",1
"637","aflcio","passed",1
"638","aflcio","resolution",1
"639","aflcio","strategy",1
"640","aflcio’s","cope",1
"641","age","foundation’s",1
"642","age","stripping",1
"643","aged","persons",1
"644","agement","psychology",1
"645","agencies","fail",1
"646","agencies","publish",1
"647","agency","rivaling",1
"648","aggravated","assault",1
"649","ago","devices",1
"650","ago","established",1
"651","ago","race",1
"652","ago","stopping",1
"653","agonizing","hangovers",1
"654","agreements","act",1
"655","agreements","negotiated",1
"656","agreements","originate",1
"657","agri","cultural",1
"658","agricultural","affairs",1
"659","agricultural","genius",1
"660","agricultural","income",1
"661","agricultural","poli",1
"662","agricultural","pricesupport",1
"663","agricultural","programs",1
"664","agricultural","surpluses",1
"665","agriculture","department",1
"666","agriculture","substantially",1
"667","agriculture","wisely",1
"668","ah","communism",1
"669","ahead","research",1
"670","aid","collapses",1
"671","aid","gwinn’s",1
"672","aid","including",1
"673","aiken","bill",1
"674","air","plane",1
"675","air","train",1
"676","aj","invalid",1
"677","ak","governors",1
"678","al","capone",1
"679","al","districts",1
"680","alabama","school",1
"681","albert","nash",1
"682","alcorn","program",1
"683","alcorn’s","suggestion",1
"684","alexander","hamilton",1
"685","alien","property",1
"686","alike","burden",1
"687","alike","encourage",1
"688","alleged","improper",1
"689","alleged","loans",1
"690","allegedly","independent",1
"691","allen","reported",1
"692","alleviate","human",1
"693","alleviate","personal",1
"694","allies","conservatives",1
"695","allis","chalmers",1
"696","allnegro","schools",1
"697","allocations","estimates",1
"698","allparty","vote",1
"699","allwhite","schools",1
"700","allyear","agents",1
"701","aloud","kennedy",1
"702","alterna","tive",1
"703","alton","brooks",1
"704","alumnus","offered",1
"705","amateur","university",1
"706","amazing","capacity",1
"707","ameliorate","individual",1
"708","amendment","ii",1
"709","amendment","iii",1
"710","amendment","simply",1
"711","amendment","supplanting",1
"712","american","achievement",1
"713","american","aid",1
"714","american","army",1
"715","american","astor",1
"716","american","aviation",1
"717","american","born",1
"718","american","chemical",1
"719","american","children",1
"720","american","citizen",1
"721","american","civilians",1
"722","american","colonies",1
"723","american","commies",1
"724","american","congress",1
"725","american","consumers",1
"726","american","correspondence",1
"727","american","criminologists",1
"728","american","electorate's",1
"729","american","enterprise",1
"730","american","exports",1
"731","american","films",1
"732","american","habit",1
"733","american","herit",1
"734","american","heritage",1
"735","american","highways",1
"736","american","idea",1
"737","american","institutions",1
"738","american","labor",1
"739","american","liberal",1
"740","american","liberals",1
"741","american","manufacturing",1
"742","american","military",1
"743","american","minds",1
"744","american","money",1
"745","american","oil",1
"746","american","parties",1
"747","american","policy",1
"748","american","politics",1
"749","american","producers",1
"750","american","public",1
"751","american","revenue",1
"752","american","revo",1
"753","american","secular",1
"754","american","society",1
"755","american","stars",1
"756","american","technology",1
"757","american","war",1
"758","american","workers",1
"759","americans","east",1
"760","americans","envisioned",1
"761","americans","killed",1
"762","amount","american",1
"763","amount","annually",1
"764","ampaign","orators",1
"765","ample","skirts",1
"766","amusing","pictures",1
"767","amusing","speech",1
"768","anachronism","italy",1
"769","analogy","congressman",1
"770","ance","grants",1
"771","ance","speech",1
"772","ancient","breton",1
"773","ancient","con",1
"774","ancient","democratic",1
"775","angeles","news",1
"776","angeles","plat",1
"777","angeles","platform",1
"778","angered","congress",1
"779","angry","politics",1
"780","animal","kingdom",1
"781","annihilate","economic",1
"782","announce","policies",1
"783","announcement","soviet",1
"784","annual","messages",1
"785","annual","regional",1
"786","anonymous","bureau",1
"787","anonymous","bureaucrats",1
"788","answered","don’t",1
"789","anthony","leviero",1
"790","anthony","panuch",1
"791","anticipate","motor",1
"792","anticipated","growth",1
"793","antilabor","sections",1
"794","antiquated","concepts",1
"795","antique","rusty",1
"796","antirepublican","prostate",1
"797","antisocial","behavior",1
"798","antitaft","antirepublican",1
"799","ap","peal",1
"800","ap","quoted",1
"801","apap","ak",1
"802","apartment","house",1
"803","apparent","innocence",1
"804","apparent","lack",1
"805","apparent","unable",1
"806","apparently","papa",1
"807","apparently","recognizes",1
"808","appeal","based",1
"809","appeal","tranquilizes",1
"810","appeal","utterly",1
"811","appearances","senators",1
"812","appearances","short",1
"813","appeared","eleanor",1
"814","appeared","o'dwyer",1
"815","applicants","claimed",1
"816","applied","safely",1
"817","applying","federal",1
"818","appointed","officer",1
"819","appointive","offices",1
"820","appointments","hold",1
"821","appreciably","increase",1
"822","apprehensions","party",1
"823","appren","u.s",1
"824","appropriately","expressing",1
"825","appropriations","bills",1
"826","approved","american",1
"827","approved","benefits",1
"828","approved","reorganization",1
"829","april","apparently",1
"830","april","meeting",1
"831","ar","ce",1
"832","ar","frauds",1
"833","arbitral","awards",1
"834","archaic","unbusinesslike",1
"835","arco","idaho",1
"836","ard","comment",1
"837","ardent","patriotism",1
"838","ardent","worshippers",1
"839","areh","barred",1
"840","argued","americans",1
"841","argument","carries",1
"842","argument","holds",1
"843","arguments","therefor",1
"844","arid","land",1
"845","arid","wastes",1
"846","aridrew","schoeppel",1
"847","aristocrat","jefferson",1
"848","arizona","cam",1
"849","arizona","family",1
"850","arkansas","valley",1
"851","armchair","doctrinaire",1
"852","army","chemical",1
"853","army","corps",1
"854","army","matters",1
"855","army","officer",1
"856","aroused","citizenry",1
"857","arrests","attention",1
"858","arthur","krock",1
"859","arthur","rank",1
"860","arthur","schlesinger",1
"861","article","lerner",1
"862","article","seemingly",1
"863","articles","telling",1
"864","arvey","machine",1
"865","as_","chores",1
"866","ashtabula","board",1
"867","ashtabula","ohio",1
"868","asia","africa",1
"869","aspen","colo",1
"870","assault","burglary",1
"871","assembly","republicans",1
"872","assist","ance",1
"873","assistance","recipients",1
"874","associationpressure","lobby",1
"875","associationpressure","organization",1
"876","assorted","chemicals",1
"877","assorted","democrats",1
"878","assumed","office",1
"879","assured","security",1
"880","astonishing","assertion",1
"881","astonishing","building",1
"882","astor","lived",1
"883","astor","opposed",1
"884","astor's","heart",1
"885","ate","study",1
"886","atom","automobiles",1
"887","atomic","development",1
"888","atomic","electric",1
"889","atomic","industrial",1
"890","atomic","powerii",1
"891","atomic","poweriv",1
"892","atomic","program",1
"893","atomic","quest",1
"894","atomicenergy","activities",1
"895","atomicenergy","bill",1
"896","ators","schoeppel",1
"897","attack","bureauitis",1
"898","attack","deserve",1
"899","attack","rests",1
"900","attack","specific",1
"901","attacked","bitterly",1
"902","attempted","purge",1
"903","atten","tion",1
"904","attendance","age",1
"905","attending","school",1
"906","attention","bodine",1
"907","attlee","announced",1
"908","attlee","morrison",1
"909","attlee","visited",1
"910","attorney","responded",1
"911","attractive","candidates",1
"912","attractive","conservative",1
"913","attractive","countryside",1
"914","au","thority",1
"915","auguration","dies",1
"916","august","kennedy",1
"917","aunts","labor",1
"918","australia","hawaii",1
"919","authentic","trial",1
"920","authorities","agree",1
"921","authorize","henry",1
"922","auto","theft",1
"923","automation","foreign",1
"924","automobile","industry",1
"925","automobile","writes",1
"926","automobiles","ships",1
"927","autonomy","realizes",1
"928","autumn","days",1
"929","avenport's","willingness",1
"930","average","citizen",1
"931","average","conservative",1
"932","average","life",1
"933","average","mental",1
"934","average","voter",1
"935","averaged","million",1
"936","avoid","predictions",1
"937","avoid","unwanted",1
"938","awaiting","release",1
"939","awakening","masses",1
"940","awful","decisions",1
"941","awful","monotony",1
"942","ax","fell",1
"943","ay","olan",1
"944","babcock","wilcox",1
"945","backtrackings","reveal",1
"946","bad","advice",1
"947","bad","dentist",1
"948","bad","manners",1
"949","bad","marriage",1
"950","bal","information",1
"951","balanced","chronic",1
"952","ball","minnesota",1
"953","ball's","views",1
"954","balloons","creel's",1
"955","ballot","based",1
"956","ballot","box",1
"957","ballots","regarded",1
"958","bank","helped",1
"959","bank","ruptcy",1
"960","bankers","called",1
"961","bankers","investors",1
